"SÜRE","TEDARİKÇİ","NO","KARIŞIM ORANI","EN","PARÇA GRAMAJ","PARÇA NEMİ (%)","ISI ÇEKME EN","ISI ÇEKME BOY","GENEL EN","GENEL  BOY","ORTAM SICAKLIK","ORTAM NEM","ZAMAN"
"72 saat sonra ","EFE","30/1","100%","198","186","10","50.1","50.5","51.8","49","22.3","52.3","20-10-22/09:02:16 "
"Başlangıç","GÖK","30/1","100%","194.7","154","7","51.5","49.9","50","50","21.0","44.3","24-10-22/09:00:10 "
"2 saat sonra ","GÖK","30/1","100%","195","159","7","50.9","50","50.2","49.4","21.1","44.7","24-10-22/11:00:10 "
"4 saat sonra ","GÖK","30/1","100%","195.7","157","7","51.6","50.2","50.4","49.3","22.0","38.3","24-10-22/13:00:10 "
"6 saat sonra ","GÖK","30/1","100%","196","159","7","51.3","49.5","50.4","49.3","22.9","34.5","24-10-22/15:00:10 "
"8 saat sonra ","GÖK","30/1","100%","196.5","158","7","51.2","49.7","50.7","49.2","23.3","35.4","24-10-22/17:00:10 "
"24 saat sonra ","GÖK","30/1","100%","197.1","156","7","51","49.5","50.9","49.2","21.5","38.5","25-10-22/09:00:10 "
"26 saat sonra ","GÖK","30/1","100%","197.8","150","7","51.5","50","50.9","49.2","22.2","35.1","25-10-22/11:00:10 "
"28 saat sonra ","GÖK","30/1","100%","198.1","154","7","50.9","50.1","50.9","49.2","22.2","34.3","25-10-22/13:00:10 "
"30 saat sonra ","GÖK","30/1","100%","198.4","159","7","50.7","50.2","50.9","49.2","22.9","28.3","25-10-22/15:00:10 "
"32 saat sonra ","GÖK","30/1","100%","198.5","157","7","52.1","50.1","51","49.2","23.4","30.7","25-10-22/17:00:10 "
"48 saat sonra ","GÖK","30/1","100%","198.8","157","7","52.1","49.9","51","49.1","21.8","37.3","26-10-22/09:00:10 "
"50 saat sonra ","GÖK","30/1","100%","198.8","155","7","52.1","50.1","51","49","22.6","38.8","26-10-22/11:00:10 "
"52 saat sonra ","GÖK","30/1","100%","198.9","158","7","51.5","50","51","49","22.6","32.7","26-10-22/13:00:10 "
"54 saat sonra ","GÖK","30/1","100%","199","160","7","52","50.3","51","49","23.5","29.4","26-10-22/15:00:10 "
"56 saat sonra ","GÖK","30/1","100%","199","156","7","52.5","50.2","51","49","23.8","30.2","26-10-22/17:00:10 "
"72 saat sonra ","GÖK","30/1","100%","199.1","157","7","53","48.8","51","49","22.8","44.0","27-10-22/09:00:10 "
"Başlangıç","GÖK","30/1","100%","188.5","148","2","51.7","49.1","50","50","21.8","33.2","31-10-22/09:00:10 "
"2 saat sonra ","GÖK","30/1","100%","188.8","146","2","50.7","49.4","50.1","49.9","24.2","31.4","31-10-22/11:02:07 "
"4 saat sonra ","GÖK","30/1","100%","189","149","2","50","50.3","50.3","49.9","22.0","34.3","31-10-22/13:02:07 "
"6 saat sonra ","GÖK","30/1","100%","189.4","145","2","51.1","49.5","50.5","49.6","22.1","33.7","31-10-22/15:02:07 "
"8 saat sonra ","GÖK","30/1","100%","189.5","148","2","51","49.5","50.5","49.5","22.3","39.8","31-10-22/17:02:07 "
"24 saat sonra ","GÖK","30/1","100%","190.2","145","2","51.3","49.9","50.8","49.4","21.7","34.5","01-11-22/09:02:07 "
"26 saat sonra ","GÖK","30/1","100%","190.6","145","2","51","49.6","50.8","49.3","22.1","34.1","01-11-22/11:02:07 "
"28 saat sonra ","GÖK","30/1","100%","191.1","144","2","50.8","50.2","50.9","49.3","21.4","35.6","01-11-22/13:02:07 "
"30 saat sonra ","GÖK","30/1","100%","191.4","149","2","51.2","49.3","50.9","49.1","22.3","33.6","01-11-22/15:02:07 "
"32 saat sonra ","GÖK","30/1","100%","191.6","153","2","51.2","48.9","50.9","49.1","22.7","35.1","01-11-22/17:02:07 "
"48 saat sonra ","GÖK","30/1","100%","191.9","150","2","51.1","49.1","51","48.8","21.3","31.6","02-11-22/09:02:07 "
"50 saat sonra ","GÖK","30/1","100%","192","149","2","51.1","49.2","51","48.8","20.8","31.8","02-11-22/11:02:07 "
"52 saat sonra ","GÖK","30/1","100%","192.1","150","2","51.5","49.3","51.1","48.7","21.4","31.2","02-11-22/13:02:07 "
"54 saat sonra ","GÖK","30/1","100%","192.1","148","2","51.1","49.5","51.1","48.7","22.7","25.9","02-11-22/15:02:07 "
"56 saat sonra ","GÖK","30/1","100%","192.2","149","2","50.9","49","51.1","48.7","22.2","29.9","02-11-22/17:02:07 "
"72 saat sonra ","GÖK","30/1","100%","192.3","149","2","50.7","49.3","51.1","48.5","21.8","34.1","03-11-22/09:02:07 "
"Başlangıç","GÖK","30/1","100%","190.8","156","9","50.2","48.5","50","50","21.5","49.8","07-11-22/09:00:03 "
"2 saat sonra ","GÖK","30/1","100%","190.9","158","7","50.7","49.1","50","49.9","22.0","46.8","07-11-22/11:00:03 "
"4 saat sonra ","GÖK","30/1","100%","191","158","7","49.8","49.2","50.1","49.8","21.3","45.6","07-11-22/13:00:03 "
"6 saat sonra ","GÖK","30/1","100%","191","156","7","49.8","49.5","50.1","49.8","21.6","47.2","07-11-22/15:00:03 "
"8 saat sonra ","GÖK","30/1","100%","191","156","6","49.4","49.1","50.1","49.7","22.6","45.6","07-11-22/17:00:03 "
"24 saat sonra ","GÖK","30/1","100%","191.2","160","6","50.2","49.7","50.2","49.5","21.2","44.3","08-11-22/09:00:03 "
"26 saat sonra ","GÖK","30/1","100%","191.2","161","6","50.2","49.1","50.2","49.4","20.9","44.0","08-11-22/11:00:03 "
"28 saat sonra ","GÖK","30/1","100%","191.2","161","6","50.5","48.5","50.2","49.4","20.4","42.0","08-11-22/13:00:03 "
"30 saat sonra ","GÖK","30/1","100%","191.4","157","6","49.4","48.9","50.2","49.4","21.4","35.5","08-11-22/15:00:03 "
"32 saat sonra ","GÖK","30/1","100%","191.4","159","6","49.8","49.4","50.3","49.2","21.3","31.6","08-11-22/17:00:03 "
"48 saat sonra ","GÖK","30/1","100%","191.7","158","5","50.2","49.6","50.6","49","21.2","31.4","09-11-22/09:00:03 "
"50 saat sonra ","GÖK","30/1","100%","191.7","157","5","50.8","48.9","50.6","49","21.0","33.1","09-11-22/11:00:03 "
