"SÜRE","TEDARİKÇİ","NO","KARIŞIM ORANI","EN","PARÇA GRAMAJ","PARÇA NEMİ (%)","ISI ÇEKME EN","ISI ÇEKME BOY","GENEL EN","GENEL  BOY","ORTAM SICAKLIK","ORTAM NEM","ZAMAN"
"26 saat sonra ","EFE","20/1","100%","191","181","4","50.6","49.3","49.5","50.4","23.3","44.3","11-10-22/11:01:26 "
"28 saat sonra ","EFE","20/1","100%","191.2","179","3","51","49","49.7","50.3","23.9","43.1","11-10-22/13:01:26 "
"30 saat sonra ","EFE","20/1","100%","191.4","187","3","50.8","48.8","50.1","50.3","24.3","40.5","11-10-22/15:01:26 "
"32 saat sonra ","EFE","20/1","100%","191.4","182","3","49.8","49.5","50.2","50.3","24.4","42.6","11-10-22/17:01:26 "
"48 saat sonra ","EFE","20/1","100%","191.5","187","3","48.8","50.9","50.3","50.3","23.8","45.4","12-10-22/09:01:26 "
"50 saat sonra ","EFE","20/1","100%","192.4","193","3","51.2","49.5","50.9","49.9","23.0","55.3","12-10-22/11:01:26 "
"52 saat sonra ","EFE","20/1","100%","193.5","187","4","50","50.2","51.2","49.4","22.7","49.9","12-10-22/13:01:26 "
"54 saat sonra ","EFE","20/1","100%","194","186","4","48.9","51","51.4","48.9","24.1","47.8","12-10-22/15:01:26 "
"56 saat sonra ","EFE","20/1","100%","196","190","4","50.4","49.8","51.7","48.8","23.3","49.4","12-10-22/17:01:26 "
"72 saat sonra ","EFE","20/1","100%","196.3","186","4","50.1","50","51.9","48.7","23.3","46.5","13-10-22/09:01:26 "
"Başlangıç","EFE","20/1","100%","192","180","2","49.4","49.6","50","50","21.1","48.8","17-10-22/09:01:26 "
"2 saat sonra ","EFE","20/1","100%","191.8","180","2","51.2","49.3","49.9","49.5","21.7","46.5","17-10-22/11:01:26 "
"4 saat sonra ","EFE","20/1","100%","191.2","182","2","49.8","50","49.8","49.3","22.1","44.6","17-10-22/13:01:26 "
"6 saat sonra ","EFE","20/1","100%","190.9","179","2","50","49.9","49.8","48.9","24.5","41.2","17-10-22/15:01:26 "
"8 saat sonra ","EFE","20/1","100%","190.2","180","2","49.7","49.6","49.8","48.7","24.7","39.8","17-10-22/17:02:16 "
"24 saat sonra ","EFE","20/1","100%","191.1","180","4","50.8","49.4","50.2","48.7","22.2","48.8","18-10-22/09:02:16 "
"26 saat sonra ","EFE","20/1","100%","191.7","186","4","49.7","49.6","50.3","48.6","22.2","48.5","18-10-22/11:02:16 "
"28 saat sonra ","EFE","20/1","100%","192.1","182","4","50.5","49.8","50.5","48.6","22.8","46.0","18-10-22/13:02:16 "
"30 saat sonra ","EFE","20/1","100%","192.5","180","4","49.4","49.4","50.7","48.6","23.5","44.8","18-10-22/15:02:16 "
"32 saat sonra ","EFE","20/1","100%","192.7","180","4","50.3","49.2","50.8","48.6","24.0","43.6","18-10-22/17:02:16 "
"48 saat sonra ","EFE","20/1","100%","193.5","177","3","49.7","50.2","49.5","49.2","22.9","48.0","19-10-22/09:02:16 "
"50 saat sonra ","EFE","20/1","100%","194.1","182","4","49.2","49.5","51.2","48.9","23.3","46.2","19-10-22/11:02:16 "
"52 saat sonra ","EFE","20/1","100%","194.4","180","4","50.8","49.7","51.4","49","22.8","50.0","19-10-22/13:02:16 "
"54 saat sonra ","EFE","20/1","100%","194.6","178","4","51","49.5","51.4","48.8","22.9","48.4","19-10-22/15:02:16 "
"56 saat sonra ","EFE","20/1","100%","194.7","181","4","50","49.8","51.5","48.8","23.4","49.2","19-10-22/17:02:16 "
"72 saat sonra ","EFE","20/1","100%","195","193","4","49.1","49.9","51.6","48.8","22.3","52.3","20-10-22/09:02:16 "
"Başlangıç","EFE","20/1","100%","183","192","5","50.9","50","50","50","21.0","44.3","24-10-22/09:00:10 "
"2 saat sonra ","EFE","20/1","100%","182.7","191","4","50.8","50.1","50","49.7","21.1","44.7","24-10-22/11:00:10 "
"4 saat sonra ","EFE","20/1","100%","182.4","190","4","51.3","50.1","50","49.5","22.0","38.3","24-10-22/13:00:10 "
"6 saat sonra ","EFE","20/1","100%","182.1","195","4","51.2","50","50","49.2","22.9","34.5","24-10-22/15:00:10 "
"8 saat sonra ","EFE","20/1","100%","181.9","194","4","50.5","49.5","50","49.2","23.3","35.4","24-10-22/17:00:10 "
"24 saat sonra ","EFE","20/1","100%","181.8","195","3","51.2","50.1","50.1","49.1","21.5","38.5","25-10-22/09:00:10 "
"26 saat sonra ","EFE","20/1","100%","181.7","198","3","50.9","50.1","50.1","49","22.2","35.1","25-10-22/11:00:10 "
"28 saat sonra ","EFE","20/1","100%","181.7","195","2","51.1","49.9","50.1","48.7","22.2","34.3","25-10-22/13:00:10 "
"30 saat sonra ","EFE","20/1","100%","181.7","193","2","50.9","50.2","50.1","48.4","22.9","28.3","25-10-22/15:00:10 "
"32 saat sonra ","EFE","20/1","100%","181.6","193","2","51.4","50","50.1","48.3","23.4","30.7","25-10-22/17:00:10 "
"48 saat sonra ","EFE","20/1","100%","181.5","198","2","51.7","50.2","50.1","48","21.8","37.3","26-10-22/09:00:10 "
"50 saat sonra ","EFE","20/1","100%","181.5","192","2","51.5","49.9","50.1","48","22.6","38.8","26-10-22/11:00:10 "
"52 saat sonra ","EFE","20/1","100%","181.5","196","2","51.2","50","50.1","48","22.6","32.7","26-10-22/13:00:10 "
"54 saat sonra ","EFE","20/1","100%","181.5","192","2","51.8","50","50.1","48","23.5","29.4","26-10-22/15:00:10 "
"56 saat sonra ","EFE","20/1","100%","181.5","198","2","51.6","49.7","50.1","48","23.8","30.2","26-10-22/17:00:10 "
"72 saat sonra ","EFE","20/1","100%","181.5","190","2","51.1","50","50.1","48","22.8","44.0","27-10-22/09:00:10 "
"Başlangıç","EFE","20/1","100%","190.8","188","3","50.7","50.2","50","50","22.2","47.4","22-11-22/09:00:51 "
"2 saat sonra ","EFE","20/1","100%","190.9","186","4","50.2","50.3","50.1","49.7","22.6","48.9","22-11-22/11:00:51 "
"4 saat sonra ","EFE","20/1","100%","190.9","184","4","49.8","50.2","50.2","49.6","22.9","46.4","22-11-22/13:00:51 "
"6 saat sonra ","EFE","20/1","100%","191","190","5","50.5","50.1","50.2","49.5","23.3","44.1","22-11-22/15:00:51 "
"8 saat sonra ","EFE","20/1","100%","191","194","5","50.2","50","50.3","49.5","23.3","40.0","22-11-22/17:00:51 "
"24 saat sonra ","EFE","20/1","100%","191.2","186","5","50.3","50.1","50.5","49.5","22.4","42.0","23-11-22/09:00:51 "
"26 saat sonra ","EFE","20/1","100%","191.2","183","5","49.8","50.3","50.5","49.5","22.9","46.0","23-11-22/11:00:51 "
"28 saat sonra ","EFE","20/1","100%","191.3","194","5","50.4","50.2","50.6","49.5","21.6","55.5","23-11-22/13:00:51 "
"30 saat sonra ","EFE","20/1","100%","191.3","183","5","50.6","50.1","50.6","49.5","22.7","50.7","23-11-22/15:00:51 "
"32 saat sonra ","EFE","20/1","100%","191.4","183","5","50.7","50.2","50.6","49.4","22.9","56.3","23-11-22/17:00:51 "
"48 saat sonra ","EFE","20/1","100%","191.6","185","5","50.4","50.1","50.6","49.4","22.7","48.8","24-11-22/09:00:51 "
"50 saat sonra ","EFE","20/1","100%","191.6","190","6","50.2","50","50.6","49.4","22.8","49.4","24-11-22/11:00:51 "
"52 saat sonra ","EFE","20/1","100%","191.6","193","6","50.1","50.1","50.6","49.4","22.8","48.4","24-11-22/13:00:51 "
"54 saat sonra ","EFE","20/1","100%","191.6","185","6","50.5","49.9","50.6","49.4","22.9","49.3","24-11-22/15:00:51 "
"56 saat sonra ","EFE","20/1","100%","191.6","183","6","50.2","50","50.6","49.4","22.9","49.4","24-11-22/17:00:51 "
"72 saat sonra ","EFE","20/1","100%","191.6","186","6","49.9","50.2","50.8","49.4","21.0","48.5","25-11-22/09:00:51 "
"Başlangıç","EFE","20/1","100%","183","189","4","49.6","49.5","50","50","19.5","45.4","28-11-22/09:00:13 "
"2 saat sonra ","EFE","20/1","100%","183","188","5","49.6","50.1","50","49.7","19.6","47.3","28-11-22/11:00:13 "
"4 saat sonra ","EFE","20/1","100%","183","189","5","50","49.6","49.9","49.6","22.2","46.5","28-11-22/13:00:13 "
"6 saat sonra ","EFE","20/1","100%","183.1","190","5","49.8","49.7","49.9","49.5","19.9","52.6","28-11-22/15:00:13 "
"8 saat sonra ","EFE","20/1","100%","183.1","191","5","49.7","49.4","49.9","49.5","19.9","52.7","28-11-22/17:00:13 "
"24 saat sonra ","EFE","20/1","100%","183.6","191","5","50.1","49.7","49.8","49.3","19.4","52.7","29-11-22/09:00:13 "
"26 saat sonra ","EFE","20/1","100%","183.6","200","5","50","50","49.7","49.2","19.4","55.3","29-11-22/11:00:13 "
"28 saat sonra ","EFE","20/1","100%","183.7","193","5","49.8","49.6","49.7","49.2","18.8","53.1","29-11-22/13:00:13 "
"30 saat sonra ","EFE","20/1","100%","183.7","194","5","50","50.1","49.7","49.2","19.5","50.3","29-11-22/15:00:13 "
"32 saat sonra ","EFE","20/1","100%","183.8","191","5","49.5","49.7","49.7","49.2","19.2","52.3","29-11-22/17:00:13 "
"48 saat sonra ","EFE","20/1","100%","184.1","194","5","49.6","49.4","49.6","48.9","18.6","50.2","30-11-22/09:00:13 "
"50 saat sonra ","EFE","20/1","100%","184.2","197","5","49.8","49.6","49.6","48.8","19.3","52.3","30-11-22/11:00:13 "
"52 saat sonra ","EFE","20/1","100%","184.2","194","5","49.6","50.1","49.6","48.8","20.3","52.8","30-11-22/13:00:13 "
"54 saat sonra ","EFE","20/1","100%","184.2","195","5","49.6","50.2","49.6","48.7","20.0","55.1","30-11-22/15:00:13 "
"56 saat sonra ","EFE","20/1","100%","184.2","200","5","50","50.1","49.6","48.7","20.5","54.8","30-11-22/17:00:13 "
"72 saat sonra ","EFE","20/1","100%","184.5","192","5","49.6","50.1","49.6","48.5","20.2","54.1","01-12-22/09:00:13 "
"Başlangıç","EFE","20/1","100%","184","196","5","50","50.4","50","50","18.8","44.6","05-12-22/09:00:13 "
"2 saat sonra ","EFE","20/1","100%","184.5","197","7","50.2","50.2","50.2","49.9","18.9","47.5","05-12-22/11:00:13 "
"4 saat sonra ","EFE","20/1","100%","184.5","197","7","49.5","50","50.3","49.9","18.9","49.1","05-12-22/13:00:13 "
"6 saat sonra ","EFE","20/1","100%","184.5","196","7","50.1","50.5","50.3","49.9","19.2","47.8","05-12-22/15:00:13 "
"8 saat sonra ","EFE","20/1","100%","184.5","197","7","49.6","50.6","50.3","49.9","17.0","56.6","05-12-22/17:00:13 "
"24 saat sonra ","EFE","20/1","100%","184.7","197","8","50.2","50.1","50.5","49.9","19.3","47.4","06-12-22/09:00:13 "
"26 saat sonra ","EFE","20/1","100%","184.7","198","8","49.9","50","50.6","49.9","19.2","47.1","06-12-22/11:00:13 "
"28 saat sonra ","EFE","20/1","100%","184.7","199","8","50","50.4","50.6","49.9","19.0","46.7","06-12-22/13:00:13 "
"30 saat sonra ","EFE","20/1","100%","184.7","199","9","49.4","50.2","50.6","49.9","19.3","45.4","06-12-22/15:00:13 "
"32 saat sonra ","EFE","20/1","100%","184.7","199","9","49.6","50.3","50.6","49.9","19.2","45.9","06-12-22/17:00:13 "
"48 saat sonra ","EFE","20/1","100%","184.8","198","10","50.2","50.3","50.9","49.8","18.8","39.8","07-12-22/09:00:13 "
"50 saat sonra ","EFE","20/1","100%","184.8","200","10","50.1","50.3","50.9","49.8","18.7","42.8","07-12-22/11:00:13 "
"52 saat sonra ","EFE","20/1","100%","184.8","199","10","50","50.2","50.9","49.8","18.8","43.9","07-12-22/13:00:13 "
"54 saat sonra ","EFE","20/1","100%","184.8","200","10","50","50.6","50.9","49.8","18.9","44.3","07-12-22/15:00:13 "
"56 saat sonra ","EFE","20/1","100%","184.8","199","10","50.1","50.5","50.9","49.7","19.1","44.4","07-12-22/17:00:13 "
"72 saat sonra ","EFE","20/1","100%","184.8","202","10","49.5","50.1","51.1","49.7","15.3","54.3","08-12-22/09:00:13 "
"Başlangıç","EFE","20/1","100%","192.1","170","5","50.4","50.6","50","50","14.0","25.4","13-02-23/09:00:08 "
"2 saat sonra ","EFE","20/1","100%","192.2","170","5","50.2","50.5","50.1","50","14.9","26.4","13-02-23/11:00:08 "
"4 saat sonra ","EFE","20/1","100%","192.2","177","5","50.3","50.5","50.1","49.9","15.9","24.7","13-02-23/13:00:08 "
"6 saat sonra ","EFE","20/1","100%","192.3","182","5","49.9","50.2","50.3","49.9","15.8","24.9","13-02-23/15:00:08 "
"8 saat sonra ","EFE","20/1","100%","192.3","173","6","50.1","50.3","50.3","49.9","16.2","26.4","13-02-23/17:00:08 "
"24 saat sonra ","EFE","20/1","100%","192.5","179","6","49.8","50.1","50.5","49.9","15.7","21.8","14-02-23/09:00:08 "
"26 saat sonra ","EFE","20/1","100%","192.5","173","6","50.2","50.5","50.5","49.9","16.1","23.9","14-02-23/11:00:08 "
"28 saat sonra ","EFE","20/1","100%","192.5","179","7","50.1","50.2","50.6","49.9","16.5","32.0","14-02-23/13:00:08 "
"30 saat sonra ","EFE","20/1","100%","192.6","176","7","50.1","50.4","50.6","49.9","16.8","20.2","14-02-23/15:00:08 "
"32 saat sonra ","EFE","20/1","100%","192.7","172","7","49.9","50.4","50.6","49.9","17.3","21.5","14-02-23/17:00:08 "
"48 saat sonra ","EFE","20/1","100%","192.9","171","9","50","50.1","50.8","49.9","15.6","25.2","15-02-23/09:00:08 "
"50 saat sonra ","EFE","20/1","100%","192.9","175","9","50","50.2","50.9","49.8","16.6","27.9","15-02-23/11:00:08 "
"52 saat sonra ","EFE","20/1","100%","192.9","175","9","50","50.3","50.9","49.8","15.6","28.5","15-02-23/13:00:08 "
"54 saat sonra ","EFE","20/1","100%","192.9","178","9","49.9","50.2","50.9","49.8","16.3","24.5","15-02-23/15:00:08 "
"56 saat sonra ","EFE","20/1","100%","192.9","185","9","50.4","50.6","50.9","49.8","15.1","25.8","15-02-23/17:00:08 "
"72 saat sonra ","EFE","20/1","100%","193","179","9","50","50.2","50.9","49.8","15.4","22.6","16-02-23/09:00:08 "
"Başlangıç","EFE","20/1","100%","190.1","178","2","50.2","50.1","50","50","17.5","40.2","21-02-23/09:00:08 "
"2 saat sonra ","EFE","20/1","100%","190.2","182","3","49.8","50.2","50.1","49.8","18.9","43.8","21-02-23/11:00:08 "
"4 saat sonra ","EFE","20/1","100%","190.2","179","4","50.4","49.9","50.4","49.8","19.2","46.1","21-02-23/13:00:08 "
"6 saat sonra ","EFE","20/1","100%","190.2","181","4","50.1","50.2","50.4","49.7","19.6","45.7","21-02-23/15:00:08 "
"8 saat sonra ","EFE","20/1","100%","190.2","179","4","50.6","50.1","50.5","49.7","20.1","42.9","21-02-23/17:00:08 "
"24 saat sonra ","EFE","20/1","100%","190.5","183","5","50.7","49.5","50.7","49.5","18.3","32.4","22-02-23/09:00:08 "
"26 saat sonra ","EFE","20/1","100%","190.6","180","5","50.5","50.1","50.7","49.5","18.6","40.2","22-02-23/11:00:08 "
"28 saat sonra ","EFE","20/1","100%","190.6","186","5","50.2","49.9","50.7","49.5","19.3","41.6","22-02-23/13:00:08 "
"30 saat sonra ","EFE","20/1","100%","190.6","180","5","49.8","50.2","50.7","49.5","19.5","41.6","22-02-23/15:00:08 "
"32 saat sonra ","EFE","20/1","100%","190.6","179","5","50.4","49.9","50.7","49.5","19.3","42.9","22-02-23/17:00:08 "
"48 saat sonra ","EFE","20/1","100%","190.9","183","5","50.5","50.1","50.7","49.5","18.4","39.3","23-02-23/09:00:08 "
"50 saat sonra ","EFE","20/1","100%","191","180","5","50.7","49.9","50.7","49.5","19.1","43.5","23-02-23/11:00:08 "
"52 saat sonra ","EFE","20/1","100%","191","183","5","50.2","50.1","50.7","49.5","19.3","45.2","23-02-23/13:00:08 "
"54 saat sonra ","EFE","20/1","100%","191","180","5","50.1","50.2","50.7","49.5","19.7","41.8","23-02-23/15:00:08 "
"56 saat sonra ","EFE","20/1","100%","191","189","5","49.8","50.2","50.7","49.5","19.8","41.8","23-02-23/17:00:08 "
"72 saat sonra ","EFE","20/1","100%","191","184","5","50.2","50","50.7","49.5","18.06","38.3","24-02-23/09:00:08 "
"Başlangıç","GÖK","20/1","100%","185.5","151","3","50.5","48.7","50","50","18.8","32.1","29-03-23/09:00:03 "
"2 saat sonra ","GÖK","20/1","100%","185","166","5","50","48.5","49.5","50.5","18.3","28.4","29-03-23/11:00:03 "
"4 saat sonra ","GÖK","20/1","100%","185","166","5","50","48.5","49.5","50.5","18.1","23.7","29-03-23/13:00:03 "
"6 saat sonra ","GÖK","20/1","100%","186","172","7","48.5","48.5","49.5","50.5","19.7","22.2","29-03-23/15:00:03 "
"8 saat sonra ","GÖK","20/1","100%","186","175","7","50","48.5","49.5","50","20.5","23.2","29-03-23/17:00:03 "
"24 saat sonra ","GÖK","20/1","100%","187","168","5","49.5","49.5","50","50","18.9","26.4","30-03-23/09:00:03 "
"26 saat sonra ","GÖK","20/1","100%","188","166","5","49.5","50","50","50","20.2","25.9","30-03-23/11:00:03 "
"28 saat sonra ","GÖK","20/1","100%","187","167","3","49.5","50","49.5","50","19.8","21.9","30-03-23/13:00:03 "
"30 saat sonra ","GÖK","20/1","100%","188.5","165","7","49","50","50","50","19.9","21.8","30-03-23/15:00:03 "
"32 saat sonra ","GÖK","20/1","100%","188.5","165","7","49","50.5","50","50","19.2","22.3","30-03-23/17:00:03 "
"48 saat sonra ","GÖK","20/1","100%","188.5","171","5","49","49.5","50.5","50","19.2","26.4","31-03-23/09:00:03 "
"50 saat sonra ","GÖK","20/1","100%","188.5","172","4","48","51","50.5","49.5","19.7","25.3","31-03-23/11:00:03 "
"52 saat sonra ","GÖK","20/1","100%","188.5","166","7","49","49.5","50","50","20.2","27.1","31-03-23/13:00:03 "
"54 saat sonra ","GÖK","20/1","100%","188.5","171","7","50.5","49.5","49.5","50","20.8","29.0","31-03-23/15:00:03 "
"56 saat sonra ","GÖK","20/1","100%","188.5","170","7","50","49","49.5","50","20.9","31.2","31-03-23/17:00:03 "
"72 saat sonra ","GÖK","20/1","100%","","","","","","","","","",""
"Başlangıç","EFE","20/1","100%","193","198","","47","50.7","50","50","20.6","50.9","17-04-23/09:00:03 "
"2 saat sonra ","EFE","20/1","100%","193","196","","48","51","50","50","21.2","50.5","17-04-23/11:00:03 "
"4 saat sonra ","EFE","20/1","100%","193","196","","47.2","51","50","50","21.4","46.5","17-04-23/13:00:03 "
"6 saat sonra ","EFE","20/1","100%","193","195","","47.2","51","50","50","21.8","41.3","17-04-23/15:00:03 "
"8 saat sonra ","EFE","20/1","100%","193","197","","47.7","51","50","50","22.2","41.6","17-04-23/17:00:03 "
"24 saat sonra ","EFE","20/1","100%","194.5","198","","49.6","49.4","50.9","49.3","21.4","40.9","18-04-23/09:00:03 "
"26 saat sonra ","EFE","20/1","100%","194.6","198","","49.3","49.6","51","49.5","21.9","42.3","18-04-23/11:00:03 "
"28 saat sonra ","EFE","20/1","100%","194.5","198","10","48.8","49.9","51","49.6","22.3","45.4","18-04-23/13:00:03 "
"30 saat sonra ","EFE","20/1","100%","195.7","199","13","49.5","49.3","51.7","49.3","22.5","48.1","18-04-23/15:00:03 "
"32 saat sonra ","EFE","20/1","100%","195.5","203","10","48.3","49.8","51.7","49.3","22.6","42.6","18-04-23/17:00:03 "
"48 saat sonra ","EFE","20/1","100%","194","200","11","47.8","51.3","51.2","49.2","21.4","41.8","19-04-23/09:00:03 "
"50 saat sonra ","EFE","20/1","100%","194","203","11","48","51","51.3","49.1","21.7","44.9","19-04-23/11:00:03 "
"52 saat sonra ","EFE","20/1","100%","195","203","11","48.5","51","51.2","49.4","21.6","45.9","19-04-23/13:00:03 "
"54 saat sonra ","EFE","20/1","100%","195","199","11","49","52.5","51.3","49.5","21.9","45.0","19-04-23/15:00:03 "
"56 saat sonra ","EFE","20/1","100%","195","200","11","50.5","52.5","51.2","49.5","23.1","44.0","19-04-23/17:00:07 "
"72 saat sonra ","EFE","20/1","100%","","","","","","","","","",""
"Başlangıç","AK","30/1","95%","","","","","","","","25.0","33.6","03-10-22/09:00:18 "
"2 saat sonra ","AK","30/1","95%","175.6","193","2","49.6","49.9","50","50","25.0","30.4","03-10-22/11:00:18 "
"4 saat sonra ","AK","30/1","95%","175.5","190","2","49","49.2","50","50","25.1","25.1","03-10-22/13:00:18 "
"6 saat sonra ","AK","30/1","95%","175.5","196","3","49.5","48.9","50","50","25.9","26.4","03-10-22/15:00:18 "
"8 saat sonra ","AK","30/1","95%","175.4","196","2","49.5","49","50","50","26.1","32.4","03-10-22/17:00:18 "
"24 saat sonra ","AK","30/1","95%","175.2","203","1","50.2","49.8","49.8","49.7","25.9","38.3","04-10-22/09:00:00 "
"26 saat sonra ","AK","30/1","95%","175.2","207","2","49.5","49","50","49.9","24.0","36.2","04-10-22/11:00:00 "
"28 saat sonra ","AK","30/1","95%","175.1","203","2","50","49","50","50","24.3","33.9","04-10-22/13:00:00 "
"30 saat sonra ","AK","30/1","95%","175.1","203","2","49.3","49.3","50.2","49.9","25.1","31.0","04-10-22/15:00:00 "
"32 saat sonra ","AK","30/1","95%","175.1","203","2","49.7","49.4","50.1","49.8","24.6","27.0","04-10-22/17:00:00 "
"48 saat sonra ","AK","30/1","95%","175.1","196","2","49.5","49.5","50","49.7","22.8","33.8","05-10-22/09:00:00 "
"50 saat sonra ","AK","30/1","95%","175","195","2","49.8","49.2","50","49.8","23.3","32.2","05-10-22/11:00:00 "
"52 saat sonra ","AK","30/1","95%","175","196","2","49.5","49.5","50","49.7","23.6","29.3","05-10-22/13:00:00 "
"54 saat sonra ","AK","30/1","95%","175","195","2","49.8","49.8","50","49.6","24.1","28.4","05-10-22/15:00:00 "
"56 saat sonra ","AK","30/1","95%","175","197","2","49.8","49.8","50","49.6","24.6","27.9","05-10-22/17:00:00 "
"72 saat sonra ","AK","30/1","95%","175.1","200","2","50","49.4","50","49.5","23.8","33.8","06-10-22/09:00:00 "
"Başlangıç","RA","30/1","95%","188.4","188","3","49.8","49.4","50","50","22.9","41.2","10-10-22/09:00:53 "
"2 saat sonra ","RA","30/1","95%","188.5","187","4","49.5","49.5","50","49.8","23.3","41.1","10-10-22/11:00:53 "
"4 saat sonra ","RA","30/1","95%","188.5","187","4","49.3","49.1","50","49.6","23.6","41.2","10-10-22/13:00:53 "
"6 saat sonra ","RA","30/1","95%","188.5","188","5","49.7","49.2","50","49.5","24.3","40.6","10-10-22/15:00:53 "
"8 saat sonra ","RA","30/1","95%","188.5","186","5","49.4","49","50","49.4","24.6","39.1","10-10-22/17:00:53 "
"24 saat sonra ","RA","30/1","95%","188.5","190","5","50.2","49.1","50","49.4","22.8","42.5","11-10-22/09:01:26 "
"26 saat sonra ","RA","30/1","95%","188.2","186","4","49.6","49.4","49.9","49.3","23.3","44.3","11-10-22/11:01:26 "
"28 saat sonra ","RA","30/1","95%","187.9","191","4","50.3","49.1","49.7","49.3","23.9","43.1","11-10-22/13:01:26 "
"30 saat sonra ","RA","30/1","95%","187.9","190","4","49.7","49.4","49.7","49.2","24.3","40.5","11-10-22/15:01:26 "
"32 saat sonra ","RA","30/1","95%","187.7","190","4","50.1","49.5","49.7","49.2","24.4","42.6","11-10-22/17:01:26 "
"48 saat sonra ","RA","30/1","95%","187.6","193","4","49.4","49.5","49.7","49.3","23.8","45.4","12-10-22/09:01:26 "
"50 saat sonra ","RA","30/1","95%","187.5","191","4","48.8","50.1","49.6","49.5","23.0","55.3","12-10-22/11:01:26 "
"52 saat sonra ","RA","30/1","95%","187","192","4","49.2","49.5","49.5","49.7","22.7","49.9","12-10-22/13:01:26 "
"54 saat sonra ","RA","30/1","95%","186.8","192","4","49.2","49.4","49.5","49.8","24.1","47.8","12-10-22/15:01:26 "
"56 saat sonra ","RA","30/1","95%","186.8","195","4","49.4","49.5","49.5","49.8","23.3","49.4","12-10-22/17:01:26 "
"72 saat sonra ","RA","30/1","95%","186.7","194","4","49.6","48.9","49.4","49.7","23.3","46.5","13-10-22/09:01:26 "
"Başlangıç","RA","30/1","95%","182","185","3","51","49.2","50","50","21.1","48.8","17-10-22/09:01:26 "
"2 saat sonra ","RA","30/1","95%","182","183","3","50.2","49.5","49.8","50","21.7","46.5","17-10-22/11:01:26 "
"4 saat sonra ","RA","30/1","95%","182","180","3","50.4","49.5","49.7","49.8","22.1","44.6","17-10-22/13:01:26 "
"6 saat sonra ","RA","30/1","95%","181.8","190","3","49.8","49.6","49.4","49.7","24.5","41.2","17-10-22/15:01:26 "
"8 saat sonra ","RA","30/1","95%","181.7","184","3","49.9","49.6","49.3","49.7","24.7","39.8","17-10-22/17:02:16 "
"24 saat sonra ","RA","30/1","95%","182.1","194","3","49.9","49.6","49","49.6","22.2","48.8","18-10-22/09:02:16 "
"26 saat sonra ","RA","30/1","95%","181.9","193","3","49.7","49.7","48.9","49.5","22.2","48.5","18-10-22/11:02:16 "
"28 saat sonra ","RA","30/1","95%","181.5","183","3","49.6","49.6","48.9","49.5","22.8","46.0","18-10-22/13:02:16 "
"30 saat sonra ","RA","30/1","95%","181.4","202","4","50","49.1","48.9","49.5","23.5","44.8","18-10-22/15:02:16 "
"32 saat sonra ","RA","30/1","95%","181.4","195","4","49.6","49.6","48.9","49.5","24.0","43.6","18-10-22/17:02:16 "
"48 saat sonra ","RA","30/1","95%","180.9","197","4","49.8","49.3","48.8","49.4","22.9","48.0","19-10-22/09:02:16 "
"50 saat sonra ","RA","30/1","95%","182.1","188","4","49.6","49.3","49.2","49.5","23.3","46.2","19-10-22/11:02:16 "
"52 saat sonra ","RA","30/1","95%","183","202","4","49.5","49.3","49.5","49.5","22.8","50.0","19-10-22/13:02:16 "
"54 saat sonra ","RA","30/1","95%","183","195","4","49.6","49.4","49.6","49.5","22.9","48.4","19-10-22/15:02:16 "
"56 saat sonra ","RA","30/1","95%","183","187","4","49.9","49.6","49.7","49.6","23.4","49.2","19-10-22/17:02:16 "
"72 saat sonra ","RA","30/1","95%","184","200","4","49.6","49.8","50.1","49.5","22.3","52.3","20-10-22/09:02:16 "
"Başlangıç","RA","30/1","95%","191.4","189","6","50.3","49","50","50","21.0","44.3","24-10-22/09:00:10 "
"2 saat sonra ","RA","30/1","95%","191.4","193","5","50.4","49","50","49.9","21.1","44.7","24-10-22/11:00:10 "
"4 saat sonra ","RA","30/1","95%","191.4","193","5","50.2","49.1","50","49.7","22.0","38.3","24-10-22/13:00:10 "
"6 saat sonra ","RA","30/1","95%","191.4","190","4","50.1","49","50","49.7","22.9","34.5","24-10-22/15:00:10 "
"8 saat sonra ","RA","30/1","95%","191.4","192","4","50.4","49.2","50","49.7","23.3","35.4","24-10-22/17:00:10 "
"24 saat sonra ","RA","30/1","95%","191.4","195","3","50.3","49","50","49.5","21.5","38.5","25-10-22/09:00:10 "
"26 saat sonra ","RA","30/1","95%","191.4","190","3","50.5","48.9","50","49.5","22.2","35.1","25-10-22/11:00:10 "
"28 saat sonra ","RA","30/1","95%","191.4","194","3","50.1","49","50","49.4","22.2","34.3","25-10-22/13:00:10 "
"30 saat sonra ","RA","30/1","95%","191.4","194","3","49.9","49","50.1","49.3","22.9","28.3","25-10-22/15:00:10 "
"32 saat sonra ","RA","30/1","95%","191.4","192","3","50.2","49","50.1","49.3","23.4","30.7","25-10-22/17:00:10 "
"48 saat sonra ","RA","30/1","95%","191.4","189","3","50.5","49.1","50.1","49.2","21.8","37.3","26-10-22/09:00:10 "
"50 saat sonra ","RA","30/1","95%","191.4","195","3","50.5","49","50.1","49.2","22.6","38.8","26-10-22/11:00:10 "
"52 saat sonra ","RA","30/1","95%","191.4","191","3","49.8","49","50.1","49.2","22.6","32.7","26-10-22/13:00:10 "
